Full name,Identifier,url
European Union Public License 1.1,EUPL-1.1,https://spdx.org/licenses/preview/EUPL-1.1.html#licenseText
European Union Public License 1.2,EUPL-1.2,https://spdx.org/licenses/preview/EUPL-1.2.html#licenseText
Eurosym License,Eurosym,https://spdx.org/licenses/preview/Eurosym.html#licenseText
Fair License,Fair,https://spdx.org/licenses/preview/Fair.html#licenseText
Frameworx Open License 1.0,Frameworx-1.0,https://spdx.org/licenses/preview/Frameworx-1.0.html#licenseText
FreeImage Public License v1.0,FreeImage,https://spdx.org/licenses/preview/FreeImage.html#licenseText
FSF All Permissive License,FSFAP,https://spdx.org/licenses/preview/FSFAP.html#licenseText
FSF Unlimited License,FSFUL,https://spdx.org/licenses/preview/FSFUL.html#licenseText
FSF Unlimited License (with License Retention),FSFULLR,https://spdx.org/licenses/preview/FSFULLR.html#licenseText
Freetype Project License,FTL,https://spdx.org/licenses/preview/FTL.html#licenseText
GNU Free Documentation License v1.1 only,GFDL-1.1-only,https://spdx.org/licenses/preview/GFDL-1.1-only.html#licenseText
GNU Free Documentation License v1.1 or later,GFDL-1.1-or-later,https://spdx.org/licenses/preview/GFDL-1.1-or-later.html#licenseText
GNU Free Documentation License v1.2 only,GFDL-1.2-only,https://spdx.org/licenses/preview/GFDL-1.2-only.html#licenseText
GNU Free Documentation License v1.2 or later,GFDL-1.2-or-later,https://spdx.org/licenses/preview/GFDL-1.2-or-later.html#licenseText
GNU Free Documentation License v1.3 only,GFDL-1.3-only,https://spdx.org/licenses/preview/GFDL-1.3-only.html#licenseText
GNU Free Documentation License v1.3 or later,GFDL-1.3-or-later,https://spdx.org/licenses/preview/GFDL-1.3-or-later.html#licenseText
Giftware License,Giftware,https://spdx.org/licenses/preview/Giftware.html#licenseText
GL2PS License,GL2PS,https://spdx.org/licenses/preview/GL2PS.html#licenseText
3dfx Glide License,Glide,https://spdx.org/licenses/preview/Glide.html#licenseText
Glulxe License,Glulxe,https://spdx.org/licenses/preview/Glulxe.html#licenseText
gnuplot License,gnuplot,https://spdx.org/licenses/preview/gnuplot.html#licenseText
GNU General Public License v1.0 only,GPL-1.0-only,https://spdx.org/licenses/preview/GPL-1.0-only.html#licenseText
GNU General Public License v1.0 or later,GPL-1.0-or-later,https://spdx.org/licenses/preview/GPL-1.0-or-later.html#licenseText
GNU General Public License v2.0 only,GPL-2.0-only,https://spdx.org/licenses/preview/GPL-2.0-only.html#licenseText
GNU General Public License v2.0 or later,GPL-2.0-or-later,https://spdx.org/licenses/preview/GPL-2.0-or-later.html#licenseText
GNU General Public License v3.0 only,GPL-3.0-only,https://spdx.org/licenses/preview/GPL-3.0-only.html#licenseText
GNU General Public License v3.0 or later,GPL-3.0-or-later,https://spdx.org/licenses/preview/GPL-3.0-or-later.html#licenseText
gSOAP Public License v1.3b,gSOAP-1.3b,https://spdx.org/licenses/preview/gSOAP-1.3b.html#licenseText
Haskell Language Report License,HaskellReport,https://spdx.org/licenses/preview/HaskellReport.html#licenseText
Historical Permission Notice and Disclaimer,HPND,https://spdx.org/licenses/preview/HPND.html#licenseText
Historical Permission Notice and Disclaimer - sell variant,HPND-sell-variant,https://spdx.org/licenses/preview/HPND-sell-variant.html#licenseText
IBM PowerPC Initialization and Boot Software,IBM-pibs,https://spdx.org/licenses/preview/IBM-pibs.html#licenseText
ICU License,ICU,https://spdx.org/licenses/preview/ICU.html#licenseText
Independent JPEG Group License,IJG,https://spdx.org/licenses/preview/IJG.html#licenseText
ImageMagick License,ImageMagick,https://spdx.org/licenses/preview/ImageMagick.html#licenseText
iMatix Standard Function Library Agreement,iMatix,https://spdx.org/licenses/preview/iMatix.html#licenseText
Imlib2 License,Imlib2,https://spdx.org/licenses/preview/Imlib2.html#licenseText
Info-ZIP License,Info-ZIP,https://spdx.org/licenses/preview/Info-ZIP.html#licenseText
Intel Open Source License,Intel,https://spdx.org/licenses/preview/Intel.html#licenseText
Intel ACPI Software License Agreement,Intel-ACPI,https://spdx.org/licenses/preview/Intel-ACPI.html#licenseText
Interbase Public License v1.0,Interbase-1.0,https://spdx.org/licenses/preview/Interbase-1.0.html#licenseText
IPA Font License,IPA,https://spdx.org/licenses/preview/IPA.html#licenseText
IBM Public License v1.0,IPL-1.0,https://spdx.org/licenses/preview/IPL-1.0.html#licenseText
ISC License,ISC,https://spdx.org/licenses/preview/ISC.html#licenseText
JasPer License,JasPer-2.0,https://spdx.org/licenses/preview/JasPer-2.0.html#licenseText
Japan Network Information Center License,JPNIC,https://spdx.org/licenses/preview/JPNIC.html#licenseText
JSON License,JSON,https://spdx.org/licenses/preview/JSON.html#licenseText
Licence Art Libre 1.2,LAL-1.2,https://spdx.org/licenses/preview/LAL-1.2.html#licenseText
Licence Art Libre 1.3,LAL-1.3,https://spdx.org/licenses/preview/LAL-1.3.html#licenseText
Latex2e License,Latex2e,https://spdx.org/licenses/preview/Latex2e.html#licenseText
Leptonica License,Leptonica,https://spdx.org/licenses/preview/Leptonica.html#licenseText
GNU Library General Public License v2 only,LGPL-2.0-only,https://spdx.org/licenses/preview/LGPL-2.0-only.html#licenseText
GNU Library General Public License v2 or later,LGPL-2.0-or-later,https://spdx.org/licenses/preview/LGPL-2.0-or-later.html#licenseText
GNU Lesser General Public License v2.1 only,LGPL-2.1-only,https://spdx.org/licenses/preview/LGPL-2.1-only.html#licenseText
GNU Lesser General Public License v2.1 or later,LGPL-2.1-or-later,https://spdx.org/licenses/preview/LGPL-2.1-or-later.html#licenseText
GNU Lesser General Public License v3.0 only,LGPL-3.0-only,https://spdx.org/licenses/preview/LGPL-3.0-only.html#licenseText
GNU Lesser General Public License v3.0 or later,LGPL-3.0-or-later,https://spdx.org/licenses/preview/LGPL-3.0-or-later.html#licenseText
Lesser General Public License For Linguistic Resources,LGPLLR,https://spdx.org/licenses/preview/LGPLLR.html#licenseText
libpng License,Libpng,https://spdx.org/licenses/preview/Libpng.html#licenseText
PNG Reference Library version 2,libpng-2.0,https://spdx.org/licenses/preview/libpng-2.0.html#licenseText
libtiff License,libtiff,https://spdx.org/licenses/preview/libtiff.html#licenseText
