slug,post_id,name,category
enenlhet-toba,20217,Enenlhet-Toba,Territories
sanapana,20214,Sanapaná,Territories
enxet,20211,Enxet,Territories
enlhet,20208,Enlhet,Territories
angaite,20169,Angaité,Territories
toba-lengua,20166,Toba-Lengua,Territories
maka,20163,Maká,Territories
kikiallus,20081,KiKiallus,Territories
confederated-tribes-of-siletz-indians,20069,Confederated Tribes of Siletz Indians,Territories
biloxi-2,20056,Biloxi,Territories
tayoroniku,20028,Tayoroniku (Tunica),Territories
caldwell,20014,Caldwell,Territories
pee-dee,19993,Pee Dee,Territories
ishir-tomaraho,19984,Ishir Tomárãho,Territories
ishir-ybytoso,19982,Ishir Ybytoso,Territories
ache,19963,Aché,Territories
kichwa,19956,Kichwa,Territories
kichwa-amazonico,19915,Kichwa (Amazónico),Territories
ayahuacas,19904,Ayahuacas,Territories
caxas,19894,Caxas,Territories
yazne,19892,Yazne,Territories
pacamoro,19890,Pacamoro,Territories
calvas,19888,Calvas,Territories
malacatos,19886,Malacatos,Territories
garrochambas,19884,Garrochambas,Territories
chaparra,19882,Chaparra,Territories
amboca,19872,Amboca,Territories
otavalo,19870,Otavalo,Territories
natabuela,19866,Natabuela,Territories
karanki,19856,Karanki,Territories
kayambi,19846,Kayambi,Territories
tsachila,19844,Tsa'chila,Territories
kitu-kara,19842,Kitu Kara,Territories
panzaleo,19837,Panzaleo,Territories
tomabela,19835,Tomabela,Territories
kisapincha,19833,Kisapincha,Territories
chibuleo,19831,Chibuleo,Territories
salasaka,19828,Salasaka,Territories
waranka,19826,Waranka,Territories
manteno-huancavilca,19824,Manteño-Huancavilca,Territories
chachi,19817,Chachi,Territories
wari-2,19805,Wari,Territories
chimu,19795,Chimú,Territories
qero,19775,Q'ero,Territories
kanas,19772,Kanas,Territories
huaylas,19762,Huaylas,Territories
huancas,19760,Huancas,Territories
chankas,19757,Chankas,Territories
chopcca,19747,Chopcca,Territories
mashco-piro,19737,Mashco Piro,Territories
nanti,19716,Nanti,Territories
marinahua,19706,Marinahua,Territories
inapari,19696,Iñapari,Territories
chitonahua-murunahua,19686,Chitonahua/Murunahua,Territories
vacacocha,19676,Vacacocha,Territories
mastanahua,19666,Mastanahua,Territories
jaqaru,19656,Jaqaru,Territories
resigaro,19645,Resígaro,Territories
muniche,19633,Muniche,Territories
kakinte,19623,Kakinte,Territories
ikitu,19612,Ikitu,Territories
kacha-edze-urarina,19602,Kacha Edze (Urarina),Territories
arabela,19592,Arabela,Territories
sharanahua,19582,Sharanahua,Territories
amahuaca,19571,Amahuaca,Territories
kapanawa,19560,Kapanawa,Territories
kichwa-santarrosino,19558,Kichwa Santarrosino,Territories
kichwa-del-rio-pastaza,19556,Kichwa del Río Pastaza,Territories
iskonawa,19545,Iskonawa,Territories
kakataibo,19535,Kakataibo,Territories
shipibo-konibo,19525,Shipibo-Konibo,Territories
kichwa-del-rio-tigre,19522,Kichwa del Río Tigre,Territories
kichwa-del-rio-napo,19512,Kichwa del Río Napo,Territories
kichwa-lamista,19502,Kichwa Lamista,Territories
apalachees,19458,Apalachees,Territories
ngambri,19445,Ngambri,Territories
doeg,19392,Doeg,Territories
qwulh-hwai-pum-klickitat,19382,Qwû'lh-hwai-pûm (Klickitat),Territories
pokanoket,19367,Pokanoket,Territories
halalt,19361,Halalt,Territories
tsuubaa-asatx,19357,Ts’uubaa-asatx,Territories
kanaky,19346,Kanaky,Territories
chapra,19290,Chapra,Territories
kandozi,19272,Kandozi,Territories
awajun,19220,Awajún,Territories
harakbut,19181,Harakbut,Territories
shawi,19171,Shawi,Territories
shiwilu,19161,Shiwilu,Territories
nomatsigenga,19151,Nomatsigenga,Territories
matsigenka,19141,Matsigenka,Territories
chamicuro,19122,Chamicuro,Territories
yanesha,19112,Yanesha,Territories
quwutsun,19100,Quw'utsun,Territories
lickanantay,19083,Lickanantay,Territories
toara,19081,Toara,Territories
omaguaca,19058,Omaguaca,Territories
ocloya,19048,Ocloya,Territories
tilian,19046,Tilian,Territories
tastil,19044,Tastil,Territories
kolla,19040,Kolla,Territories
dagomba,19002,Dagomba,Territories
ga,18989,Ga,Territories
ewe,18979,Ewe,Territories
akan,18968,Akan,Territories
kolla-atacameno,18950,Kolla-Atacameño,Territories
tonokote,18936,Tonokoté,Territories
moqoit,18934,Moqoit,Territories
sanavirones,18932,Sanavirones,Territories
henia-kamiare,18922,Henîa-Kamiare,Territories
rankulche,18912,Rankülche,Territories
huarpe,18902,Huarpe,Territories
sura,18900,Sura,Territories
charka,18898,Charka,Territories
qhara-qhara,18895,Qhara Qhara,Territories
wisijsa,18841,Wisijsa,Territories
chichas,18839,Chichas,Territories
chukchansi,18836,Chukchansi,Territories
killaka-asanajaqi,18815,Killaka Asanajaqi,Territories
lipi,18797,Lipi,Territories
uru,18705,Uru,Territories
karanka,18679,Karanka,Territories
pakajaqi,18661,Pakajaqi,Territories
mongo-twa,18657,Mongo Twa,Territories
kasai-twa,18655,Kasai Twa,Territories
great-lakes-twa,18644,Great Lakes Twa,Territories
guanche,18642,Igwanchiyen (Guanche),Territories
noiria,18637,No'iria,Territories
kallawaya,18627,Kallawaya,Territories
mountain-metis,18573,Mountain Métis,Territories
cuicuilco,18551,Cuicuilco,Territories
uwa,18541,U'wa,Territories
timotes,18539,Timotes,Territories
cuica,18529,Cuica,Territories
kisii,18518,Kisii,Territories
xam,18507,!Xam,Territories
sandawe,18497,Sandawe,Territories
hadza,18486,Hadza,Territories
kitselas,18423,Kitselas,Territories
kitsumkalum,18413,Kitsumkalum,Territories
gitxaala,18403,Gitxaała,Territories
toromona,18392,Toromona,Territories
araona,18390,Araona,Territories
ecuana,18388,Ecuana,Territories
esse-ejja,18381,Esse ejja,Territories
pacahuara,18376,Pacahuara,Territories
nivacle,18374,Nivaclé,Territories
lumnanas,18372,Lumnanas,Territories
tapiete-guarani-nandeva,18369,Tapieté/Guaraní-Ñandeva,Territories
mojeno,18352,Mojeño,Territories
canichana,18342,Canichana,Territories
movima,18324,Movima,Territories
cayubaba,18314,Cayubaba,Territories
sauk-suiattle,18300,Sauk Suiattle,Territories
moregena,18298,Moregena,Territories
bia-mbya,18296,Bia Mbyá,Territories
yuracare,18293,Yuracaré,Territories
tsimane,18283,Tsimane’,Territories
moseten,18280,Mosetén,Territories
leco,18269,Leco,Territories
tacana,18257,Tacana,Territories
itonama,18247,Itonama,Territories
guarasugwe,18242,Guarasugwe,Territories
ayoreo,18222,Ayoreo,Territories
chiquitano,18215,Chiquitano,Territories
siriono,18207,Sirionó,Territories
guarayo,18203,Guarayo,Territories
baure,18193,Baure,Territories
tuxa,18191,Tuxá,Territories
tupinamba,18189,Tupinambá,Territories
tumbalala,18187,Tumbalalá,Territories
pataxo-ha-ha-hae,18183,Pataxó Hã-Hã-Hãe,Territories
kantarure,18181,Kantaruré,Territories
kiriri,18179,Kiriri,Territories
kaimbe,18177,Kaimbé,Territories
kaxixo,18175,Kaxixó,Territories
xakriaba,18173,Xakriabá,Territories
pataxo,18165,Pataxó,Territories
maxakali,18163,Maxakalí,Territories
pankararu,18161,Pankararu,Territories
krenak,18159,Krenak,Territories
laklano,18135,Laklanõ,Territories
kaingang,18127,Kaingang,Territories
mbya,18119,Mbya,Territories
xeta,18117,Xetá,Territories
nukini,18114,Nukini,Territories
puyanawa,18112,Puyanawa,Territories
yawanawa,18110,Yawanawá,Territories
nawa,18103,Nawa,Territories
yaminawa,18093,Yaminawá,Territories
katukina,18090,Katukina,Territories
huni-kuin,18083,Huni Kuin,Territories
shawanaua,18081,Shawanaua,Territories
asheninka,18072,Asheninka,Territories
ashaninka,18065,Ashaninka,Territories
yine,18050,Yine,Territories
puri,18035,Purí,Territories
diaguita,17995,Diaguita,Territories
shanenawa,17989,Shanenawa,Territories
pykopcateje,17987,Pykopcatejê,Territories
kricatije,17985,Krĩcatijê,Territories
awa-2,17983,Awá,Territories
canela-apanyekra,17981,Canela Apanyekrá,Territories
canela-ramkokamekra,17979,Canela Ramkokamekrá,Territories
krenye,17977,Krenyê,Territories
guajajara,17961,Guajajara,Territories
kaapor,17954,Ka'apor,Territories
parikwene,17952,Parikwene,Territories
kinja,17947,Kinja,Territories
marubo,17941,Marubo,Territories
kulina-pano,17939,Kulina Pano,Territories
madija,17932,Madija,Territories
matses-mayoruna,17925,Matsés (Mayoruna),Territories
matses-matis,17923,Matses (Matis),Territories
korubo,17921,Korubo,Territories
banawa,17919,Banawá,Territories
deni,17917,Deni,Territories
jarawara,17915,Jarawara,Territories
jamamadi,17913,Jamamadi,Territories
suruwaha,17910,Suruwaha,Territories
popukare,17908,Popũkare,Territories
purehno,17906,Purehno,Territories
pamoari,17904,Pamoari,Territories
kambeba-omagua,17901,Kambeba/Omagua,Territories
miranha,17894,Miranha,Territories
nadob,17892,Nadöb,Territories
yeba-masa,17888,Yeba-masã (Makuna),Territories
karapana-muteamasa,17885,Karapana/Muteamasa,Territories
hupdah,17883,Hupd'äh,Territories
utapinomakaphona,17879,Utapinõmakãphõná,Territories
yepa-masa,17871,"Ye""pâ-masa",Territories
waikhana,17869,Waíkhana,Territories
tariana,17864,Tariana,Territories
daw,17861,Dâw,Territories
hiaitsiihi,17853,Hiaitsiihi,Territories
arara-of-volta-grande,17851,Arara of Volta Grande,Territories
ukarangma,17849,Ukarãngmã,Territories
satare-mawe,17840,Sateré-Mawé,Territories
zoe,17838,Zo’é,Territories
hixkaryana,17836,Hixkaryana,Territories
tenetehara-tembe,17830,Tenetehara (Tembé),Territories
anambe,17828,Anambé,Territories
parkateje,17826,Parkatejê,Territories
kuruaya,17824,Kuruaya,Territories
awaete-asurini-of-the-xingu,17812,Awaeté (Asurini of the Xingu),Territories
awaete,17808,Awaeté,Territories
panara,17806,Panará,Territories
mebengokre-kayapo,17804,Mebêngôkre (Kayapó),Territories
akwe,17802,Akwê,Territories
mehin,17800,Mehin,Territories
apinaye,17793,Apinayé,Territories
karaja-do-norte,17791,Karajá do Norte,Territories
awa,17789,Ãwa,Territories
tekoha-nandeva,17786,Tekohá (Ñandeva - Avá Guaraní),Territories
ofaie,17783,Ofaié,Territories
tekoha-kaiowa,17781,Tekohá (Paĩ Tavytera/Kaiowá),Territories
terena,17779,Terena,Territories
kadiweu,17771,Kadiwéu,Territories
guato,17766,Guató,Territories
boe,17752,Boe,Territories
haliti,17750,Halíti,Territories
manoki,17748,Manoki,Territories
enawene-nawe,17739,Enawenê-nawê,Territories
trumai,17737,Trumai,Territories
kamaiura,17734,Kamaiurá,Territories
mehinako,17732,Mehinako,Territories
awytyza,17729,Awytyza,Territories
bide,17727,Bïde,Territories
wauja,17725,Waujá,Territories
kura,17723,Kurâ,Territories
auwe,17721,A'uwe,Territories
kalapalo,17718,Kalapalo,Territories
ipatse-ahukugi-lahatua-otomo,17714,Ipatse/Ahukugi/Lahatuá ótomo,Territories
kisedje,17712,Kisêdjê,Territories
ikpeng,17708,Ikpeng,Territories
yudja,17705,Yudjá,Territories
apyawa,17703,Apyãwa,Territories
kaxarari,17701,Kaxarari,Territories
nambikwara,17699,Nambikwara,Territories
kwaza,17697,Kwazá,Territories
aikana,17695,Aikanã,Territories
itarap,17693,I'târap,Territories
matetamae-cinta-larga,17691,Matetamãe/Cinta Larga,Territories
surui-paiter,17689,Surui Paiter,Territories
zoro-pangyjej,17687,Zoró/Pangyjej,Territories
ikolen,17683,Ikolen,Territories
sakurabiat,17681,Sakurabiat,Territories
arikapu,17678,Arikapú,Territories
wajuru,17675,Wajuru,Territories
arua,17673,Aruá,Territories
djeoromitxi,17671,Djeoromitxí,Territories
yjxa,17669,Yjxa,Territories
wari,17667,Wari’,Territories
oro-win-oro-towati,17664,Oro Win/Oro Towati’,Territories
makurap,17659,Makurap,Territories
tupari,17657,Tupari,Territories
pankara,17654,Pankará,Territories
atikum-uma,17647,Atikum-Umã,Territories
purubora,17645,Puruborá,Territories
envuga-kawahib,17643,Envuga (Kawahib),Territories
ahe-kawahib,17639,Ahé (Kawahib),Territories
juma-kawahib,17637,Juma (Kawahib),Territories
jupau-kawahib,17629,Jupaú (Kawahib),Territories
kagwahiva-jiahui,17627,Kawahib (Jiahui),Territories
kagwahiva-tenharim,17625,Kawahib (Tenharim),Territories
kagwahiva-parintintin,17618,Kawahib (Parintintin),Territories
apiaka,17602,Apiaká,Territories
rikbaktsa,17595,Rikbaktsá,Territories
kaiabi,17586,Kaiabi,Territories
mundurukania-wuy-jugu,17584,Mundurukânia (Wuy jugu),Territories
gitanyow-laxyip,17477,Gitanyow Lax’yip,Territories
isle-de-jean-charles-biloxi-chitimacha-choctaw,17388,Isle de Jean Charles Biloxi-Chitimacha-Choctaw,Territories
tigua,17375,Tigua (Tiwa),Territories
w%cc%b1jo%c6%9ae%c6%9ap-tsartlip,17338,W̱JOȽEȽP (Tsartlip),Territories
malexe%c6%9a-malahat,17333,MÁLEXEȽ (Malahat),Territories
bo%e1%b8%b1ecen-pauquachin,17328,BOḰEĆEN (Pauquachin),Territories
w%cc%b1sl%e1%b8%b5em-tseycum,17326,W̱SĺḴEM (Tseycum),Territories
taos-pueblo,17315,Taos Pueblo,Territories
popti,17244,Popti',Territories
abitibiwinni-aki,17218,Abitibiwinni Aki,Territories
cascades,17136,Cascades,Territories
multnomah,17127,Multnomah,Territories
skilloot,17125,Skilloot,Territories
confederated-tribes-of-grand-ronde,17122,Confederated Tribes of Grand Ronde,Territories
copuces,17110,Copuces,Territories
atakapa-ishak-chawasha,17102,Atakapa Ishak Chawasha,Territories
ryukyu,17028,Ryūkyū,Territories
ainu,17012,Ainumoshir (Ainu),Territories
queets,16948,Queets,Territories
konnaack,16898,Konnaack,Territories
pit-river,16890,Pit River,Territories
muwekma,16863,Muwekma,Territories
poquonook,16782,Poquonook,Territories
denendeh,16500,Dënéndeh,Territories
quandamooka,16348,Quandamooka,Territories
siginygmit-sireniki-yupik,16341,Siginygmit (Sireniki) Yupik,Territories
ungazigmit-chaplino-yupik,16337,Ungazigmit (Chaplino) Yupik,Territories
nyvukagmit-naukan,16330,Nyvukagmit (Naukan) Yupik,Territories
ngati-te-ata,16310,Ngāti Te Ata,Territories
esketemculeucw-esketemc,16292,Esketemculeucw (Esk'etemc),Territories
nadleh-whuten,16286,Nadleh Whut'en,Territories
stellaten,16281,Stellat'en,Territories
%c6%9ba%ca%94uuk%ca%b7i%ca%94ath%cc%a3-tla-o-qui-aht,16173,ƛaʔuukʷiʔatḥ (Tla-o-qui-aht),Territories
pocomoke,16157,Pocomoke,Territories
wulgurukaba,16134,Wulgurukaba,Territories
wanapum,16124,Wanapum,Territories
takla,16114,Takla,Territories
rapa-nui,16096,Rapa Nui,Territories
yugambeh,16078,Yugambeh,Territories
pilagalek,16027,Pilagal'ek,Territories
wichi,16022,Weenhayek/Wichí,Territories
qom,16001,Qom,Territories
nicoleno,15971,Nicoleño,Territories
puruwa,15957,Puruwá,Territories
saraguro,15945,Saraguro,Territories
kanari,15927,Kañari,Territories
paltas,15911,Paltas,Territories
inkerilainen,15906,Inkeriläinen,Territories
vaddalaizod,15898,Vad’d’alaizõd,Territories
maavaki-izhorian,15892,Maaväki (Izhorian),Territories
solkup,15884,Söl'kup,Territories
khanty-kantyk,15873,Khanty/Kantyk,Territories
maansi,15865,Maańśi,Territories
komi-voitor,15859,komi voitõr,Territories
coquille,15797,Coquille,Territories
mopan,15771,Mopan,Territories
stillaguamish,15755,Stillaguamish,Territories
vepslaine-vepsalne-veps,15709,Vepslaine/Vepsalne (Veps),Territories
karjalaiset-karelian,15698,Karjalaiset (Karelian),Territories
neney-nenets-nenets,15695,N’eney N’enet’s’ (Nenets),Territories
cholulteca,15673,Cholulteca,Territories
tawakoni,15663,Tawakoni,Territories
waco,15658,Waco,Territories
kizh-gabrieleno,15628,Kizh (Gabrieleno),Territories
kasho-gotine,15576,K’asho Got’ine,Territories
shita-gotine,15574,Shita Got’ine,Territories
kaal%c7%ab-gotine,15571,K’áálǫ Got’ine,Territories
sahtu-gotine,15568,Sahtú Got’ine,Territories
munsee-lenape,15531,Munsee Lenape,Territories
skykomish,15522,Skykomish,Territories
mississauga,15514,Mississauga,Territories
mississaugas-of-the-credit-first-nation,15509,Mississaugas of the Credit First Nation,Territories
we-wai-kum,15486,We Wai Kum,Territories
we-wai-kai,15481,We Wai Kai,Territories
pawtucket,15452,Pawtucket,Territories
kubewa-cubeo,15429,Kubéwa/Cubeo,Territories
wanano-kotiria,15427,Wanano/Kotiria,Territories
umukomasa-desana,15425,Umukomasã/Desana,Territories
