id,lat,lon
KFCX,37.02444444444444,-80.27388888888889
KAKQ,36.98388888888889,-77.00722222222223
KCXX,44.51111111111111,-73.16638888888889
KATX,48.19444444444444,-122.49583333333334
KOTX,47.680277777777775,-117.62666666666667
KGRB,44.498333333333335,-88.11138888888888
KMKX,42.967777777777776,-88.55055555555555
KARX,43.82277777777778,-91.19111111111111
KRLX,38.31111111111111,-81.72305555555556
KCYS,41.151944444444446,-104.80611111111111
KRIW,43.066111111111105,-108.47722222222222
KNOP3,35.238055555555555,-97.46000000000001
KSHI,31.00111111111111,121.885
KPEK,40.05083333333333,116.60972222222222
KLGX,47.13,-124.09972222222221
KOUN,35.23583333333333,-97.46194444444444
KCRI,35.238055555555555,-97.46000000000001
KKJK,35.924166666666665,126.62194444444444
KKSG,36.95944444444445,127.01805555555555
KODN,26.301944444444445,127.90972222222223
